Income_JobSatisfaction,MonthlyIncome,DailyRate,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Age,OverTime_Yes,MaritalStatus_Single,Attrition_Yes
17696,4424,746,11,11,7,8,31,0,1,0
4312,4312,776,16,15,13,8,35,0,1,0
13245,13245,193,17,0,0,0,45,1,0,0
40992,13664,397,16,5,2,2,37,0,1,0
10042,5021,945,16,4,2,2,46,1,0,0
20504,5126,852,10,10,8,0,30,1,0,0
8577,2859,1214,6,6,4,4,35,0,1,0
40956,10239,111,24,1,0,0,55,0,0,0
21316,5329,573,17,13,11,9,38,1,0,0
8650,4325,1153,5,5,2,3,34,0,0,0
29040,7260,1400,37,6,4,2,56,0,1,0
2322,2322,541,3,0,0,0,23,0,0,0
8300,2075,432,10,4,2,3,51,0,0,0
16608,4152,288,11,11,10,8,30,0,0,0
38476,9619,669,9,9,8,7,46,0,1,1
27006,13503,530,22,22,3,11,40,0,0,0
21764,5441,632,11,10,7,0,51,1,1,0
10418,5209,1334,11,11,8,7,30,1,0,0
10673,10673,638,21,10,9,5,46,1,0,0
15030,5010,1093,12,11,8,7,32,0,1,0
40647,13549,1217,16,4,3,3,54,0,0,0
14997,4999,1353,4,3,2,2,24,0,0,0
12663,4221,120,5,5,4,4,28,0,0,0
41616,13872,682,38,37,10,8,58,0,1,0
4084,2042,489,17,3,2,2,44,0,0,0
2073,2073,807,7,3,2,2,37,1,0,1
2956,2956,827,1,1,0,0,32,0,1,0
11704,2926,871,1,1,0,0,20,1,1,1
14427,4809,665,16,16,13,10,34,0,1,0
20652,5163,1040,17,1,0,0,37,0,0,0
75376,18844,1420,30,3,2,2,59,0,0,0
36344,18172,1115,28,8,3,7,50,1,0,0
17232,5744,240,6,6,4,3,25,1,1,1
11556,2889,1280,2,2,2,1,25,0,0,0
11484,2871,534,1,0,0,0,22,0,1,0
7484,7484,1456,23,13,12,8,51,0,1,0
18222,6074,658,9,9,7,6,34,1,1,1
69312,17328,142,23,5,3,4,54,1,1,0
8322,2774,1127,6,5,3,2,24,0,0,0
9010,4505,1031,12,1,0,0,34,0,0,0
29712,7428,1189,12,5,3,3,37,0,1,0
11631,11631,1354,14,11,10,8,34,0,1,0
38952,9738,1467,10,9,7,8,36,0,0,0
11340,2835,922,7,1,0,0,36,0,0,0
67836,16959,394,25,25,12,12,43,1,0,0
7839,2613,1312,10,10,7,9,30,0,0,0
12292,6146,750,8,7,7,7,33,0,0,0
9926,4963,441,7,5,4,3,56,1,0,1
58611,19537,684,23,20,18,15,51,0,1,0
18516,6172,249,12,7,7,7,31,1,0,1
4736,2368,841,5,5,4,3,26,0,0,0
41248,10312,147,40,40,10,6,58,0,0,1
5025,1675,528,0,0,0,0,19,1,1,1
10092,2523,594,3,2,1,1,22,0,0,0
6567,6567,470,16,15,11,11,49,0,0,0
14217,4739,957,18,3,2,2,43,0,1,0
36832,9208,809,16,2,2,1,50,0,1,0
13677,4559,542,4,2,2,2,31,1,0,1
24567,8189,802,12,9,7,7,41,1,0,0
8826,2942,1355,8,8,7,7,26,0,0,0
9882,4941,216,7,3,2,1,36,0,0,0
42600,10650,1150,18,4,2,3,51,0,1,1
17706,5902,1329,17,15,11,9,39,0,0,0
25917,8639,959,6,2,2,2,25,0,0,0
25388,6347,1240,12,11,9,7,30,1,0,0
4200,4200,1033,10,5,4,4,32,0,1,1
13808,3452,1316,9,6,5,3,45,0,1,0
12951,4317,364,19,3,2,2,38,1,1,0
7896,2632,438,5,5,4,4,30,0,1,0
18672,4668,689,9,8,7,7,32,0,0,0
3204,3204,201,8,3,2,2,30,0,0,0
10880,2720,1427,6,5,3,2,30,0,1,0
17181,17181,857,21,7,6,7,41,0,0,0
2238,2238,933,7,5,0,4,41,0,0,0
2966,1483,1181,1,1,0,0,19,0,1,0
11210,5605,1395,20,20,7,13,40,0,0,0
14590,7295,662,10,10,8,6,35,0,0,0
6918,2306,1436,13,7,7,5,53,1,0,0
4696,2348,194,20,17,9,15,45,0,0,0
35992,8998,967,9,9,8,7,32,0,1,0
12957,4319,1496,10,10,7,9,29,0,0,0
18396,6132,1169,10,1,0,0,51,0,0,0
6692,3346,1145,9,1,0,0,58,1,0,0
43420,10855,630,15,12,11,11,40,0,0,0
6693,2231,303,6,4,3,2,34,0,0,0
9292,2323,1256,2,2,2,2,22,0,0,0
4048,2024,691,6,2,2,2,27,0,0,0
10852,2713,440,5,5,2,2,28,0,0,0
37756,9439,334,12,5,3,4,57,1,0,0
7698,2566,1450,1,1,1,1,27,1,0,0
39852,19926,1452,21,5,4,4,50,0,1,0
7353,2451,465,13,9,8,8,41,0,0,0
37676,9419,1339,12,10,9,4,30,0,0,0
34744,8686,702,12,8,3,7,38,0,1,0
9114,3038,120,8,5,4,4,32,0,1,0
6116,3058,1157,6,5,2,1,27,1,0,0
2325,2325,602,1,0,0,0,19,0,1,1
4176,2088,1480,13,8,7,2,36,0,1,0
3072,3072,111,12,12,9,10,30,0,0,0
5006,5006,1268,9,5,4,3,45,1,0,0
4257,4257,713,19,2,2,2,56,1,0,0
10000,2500,134,4,3,1,2,33,0,1,0
4408,1102,303,1,1,0,0,19,0,1,1
10453,10453,526,24,24,13,7,46,0,0,0
9152,2288,1380,2,2,2,1,38,0,1,0
15716,3929,140,7,4,2,2,31,1,0,0
4622,2311,629,9,3,2,2,34,0,1,0
6280,3140,1356,4,4,3,2,41,1,1,1
11070,3690,328,5,3,2,2,50,0,0,0
4450,4450,1084,5,4,2,3,53,0,0,0
5512,2756,931,8,8,7,6,33,0,0,0
57099,19033,989,21,20,8,9,40,0,0,0
37444,18722,692,36,24,15,15,55,0,1,0
28641,9547,1069,10,10,9,9,34,0,0,0
27468,13734,313,21,7,7,0,51,0,1,0
59997,19999,699,34,33,18,9,52,0,0,0
4558,2279,894,7,7,7,3,27,0,1,0
17748,5916,556,8,1,0,1,35,1,0,1
8356,2089,1344,7,5,4,2,43,0,0,0
67168,16792,1195,22,20,8,8,45,0,0,0
3564,3564,290,8,8,7,7,37,1,0,0
8850,4425,138,10,6,2,2,35,0,1,0
15795,5265,926,11,5,3,2,42,0,0,0
19659,6553,1261,14,1,0,0,38,0,0,0
25044,6261,1084,9,7,7,7,38,0,0,0
4298,4298,472,6,2,2,0,27,0,0,0
27216,6804,1002,7,7,7,7,49,1,0,0
11445,3815,878,5,5,3,0,34,1,0,0
10964,2741,905,15,7,2,7,40,1,0,0
6673,6673,1180,17,1,0,0,38,1,0,1
30556,7639,121,10,10,4,9,29,0,0,1
4656,2328,1136,4,4,2,2,22,1,0,0
8612,2153,635,8,8,1,7,36,0,1,0
19504,4876,1151,5,3,2,2,40,0,0,0
9396,9396,644,17,4,2,3,46,0,0,0
41600,10400,1045,14,14,8,8,32,0,0,1
25422,8474,829,12,11,8,8,30,0,1,0
29943,9981,1242,7,7,7,7,27,0,1,0
24980,12490,1469,16,10,9,7,51,0,0,0
2657,2657,1005,8,5,2,4,30,1,1,1
54364,13591,896,16,1,0,0,41,1,1,0
6696,6696,334,9,6,3,1,30,0,1,1
6174,2058,992,7,6,2,5,29,0,1,1
35460,8865,1052,23,19,7,8,45,0,1,0
5940,5940,1147,16,6,2,5,54,0,0,0
11828,5914,1396,16,13,11,7,36,0,1,0
5244,2622,147,7,3,2,1,33,0,0,0
48740,12185,663,10,10,8,7,37,1,0,0
31827,10609,119,17,16,10,13,38,0,0,0
13035,4345,979,6,5,4,4,31,0,0,0
8708,2177,142,7,1,0,0,59,0,0,0
11172,2793,319,13,9,8,8,37,0,0,0
31672,7918,1413,11,11,10,1,29,0,0,0
26367,8789,944,10,10,7,8,35,0,1,0
9556,2389,896,4,4,3,1,29,1,1,1
12848,3212,1323,6,2,2,2,52,0,1,0
76928,19232,532,22,22,17,15,42,0,0,0
6801,2267,818,7,2,2,2,59,0,0,0
78068,19517,854,32,7,0,6,50,0,0,0
9744,2436,813,8,5,4,4,33,1,0,1
64256,16064,1034,22,17,13,9,43,1,0,0
2707,2707,465,13,9,7,7,33,0,0,1
57204,19068,771,33,33,7,12,52,1,1,0
7862,3931,1401,6,4,3,2,32,0,0,0
11190,3730,515,4,3,2,2,32,1,1,1
6696,2232,1431,7,3,2,2,39,0,0,0
17860,4465,976,4,3,2,2,32,0,0,0
3072,3072,1411,17,1,0,0,41,0,0,0
13276,3319,1300,9,9,8,7,40,0,0,0
76808,19202,252,25,24,0,7,45,0,0,0
41025,13675,1327,9,2,2,2,31,0,0,0
11644,2911,832,2,2,2,2,33,0,0,0
5957,5957,470,13,11,9,9,34,0,0,0
3920,3920,1017,17,3,1,2,37,0,0,0
19302,6434,1199,9,3,2,2,45,0,0,0
30144,10048,504,17,1,0,0,37,0,0,1
32814,10938,505,20,19,6,8,39,0,1,0
9360,2340,665,6,6,5,5,29,0,1,0
6545,6545,916,10,3,2,2,42,1,1,0
27724,6931,1247,10,3,2,2,29,0,0,0
14694,4898,685,5,4,2,2,25,0,0,0
2593,2593,269,10,9,6,8,42,1,0,0
58308,19436,1416,22,21,7,9,40,0,0,0
10892,2723,833,1,1,0,0,51,0,0,0
6958,3479,307,6,5,4,4,31,0,1,1
5588,2794,1311,5,5,1,3,32,0,0,0
20996,5249,1327,13,8,7,5,38,0,0,0
2176,2176,128,9,6,2,4,32,0,1,0
33744,16872,488,28,7,7,7,46,1,0,0
10455,3485,529,5,0,0,0,28,0,1,1
13288,6644,1210,10,0,0,0,29,0,0,0
22328,5582,1463,10,9,0,8,31,0,0,0
4000,4000,675,6,6,3,5,25,0,0,0
53984,13496,1385,21,20,7,10,45,1,0,0
12840,3210,1403,16,15,13,11,36,0,0,0
19045,19045,452,37,36,10,13,55,1,1,0
23698,11849,666,10,10,7,9,47,1,0,1
8280,2070,1158,5,5,2,4,28,0,0,0
26008,6502,228,7,5,4,1,37,0,0,0
9690,3230,996,3,3,2,0,21,0,1,0
54412,13603,728,15,5,2,2,37,1,0,0
23992,11996,1315,10,7,7,2,35,0,0,0
5605,5605,322,8,8,0,7,38,1,0,0
12794,6397,1479,6,6,5,4,26,0,0,0
38288,19144,797,28,10,4,6,50,0,0,0
52752,17584,1070,21,5,3,3,53,1,0,0
14721,4907,635,20,20,16,6,42,0,0,0
18216,4554,442,10,10,7,9,29,0,1,0
21660,5415,147,12,10,7,8,55,1,0,0
4741,4741,496,5,5,3,3,26,1,0,0
8460,2115,1372,17,17,12,7,37,0,1,0
9483,3161,920,19,1,0,0,44,1,0,1
22980,5745,688,10,2,2,2,38,0,0,0
4746,2373,1449,5,3,2,2,26,1,0,1
13240,3310,1117,5,5,3,2,28,0,1,0
18665,18665,636,22,3,2,2,49,1,1,0
8970,4485,506,10,8,0,7,36,0,1,0
5578,2789,444,2,2,2,2,31,0,0,0
23312,5828,950,8,8,7,4,26,1,1,1
9304,2326,889,4,4,2,2,37,1,0,0
27050,13525,555,23,20,4,8,42,0,0,0
4260,1420,230,0,0,0,0,18,0,1,1
16040,8020,1232,12,11,9,9,35,0,0,0
14752,3688,566,4,1,0,0,36,0,0,0
10964,5482,1302,13,4,1,2,51,0,0,0
32030,16015,334,22,22,10,4,41,0,1,0
3600,1200,812,0,0,0,0,18,0,1,0
5661,5661,1476,9,8,3,7,28,0,1,0
27716,6929,218,10,8,7,7,31,0,0,0
38452,9613,1132,19,18,10,7,39,0,0,0
11348,5674,1105,11,9,8,8,36,0,0,0
16452,5484,906,13,13,8,8,32,0,0,0
24122,12061,849,19,10,8,1,38,0,0,0
16980,5660,390,12,5,3,2,58,1,0,0
19284,4821,691,6,5,2,3,31,1,0,0
6410,6410,106,9,2,2,0,31,0,0,0
5210,5210,1249,24,24,9,11,45,0,0,0
10780,2695,192,3,2,2,2,31,1,0,0
23756,11878,553,12,10,6,8,33,0,0,0
17068,17068,117,21,21,9,10,39,1,0,0
9820,2455,185,9,8,7,7,43,0,1,0
41892,13964,1091,25,7,1,7,49,1,1,0
9882,4941,723,11,8,2,7,52,0,0,1
4956,2478,1220,4,4,3,2,27,1,1,0
10456,5228,588,13,13,12,9,32,1,0,0
13434,4478,1377,5,5,4,4,27,1,1,0
30188,7547,691,13,7,7,7,31,0,0,0
20220,5055,1018,10,7,7,7,32,0,1,0
13856,3464,1157,5,3,2,2,28,1,0,1
23100,5775,1275,11,10,8,9,30,0,0,0
26829,8943,798,10,10,9,9,31,0,0,0
77088,19272,672,21,21,9,3,39,0,0,0
15714,5238,1162,12,1,0,0,39,1,0,1
18728,4682,508,9,7,7,1,33,0,1,0
54900,18300,1482,21,3,2,1,47,0,0,0
15771,5257,559,9,9,7,0,43,0,0,0
12698,6349,210,6,5,4,4,27,1,0,0
14607,4869,928,20,4,3,3,54,0,1,0
9985,9985,1001,10,1,0,0,43,0,0,0
14788,3697,549,12,10,9,8,45,0,0,0
29828,7457,1124,6,4,3,2,40,1,0,0
2119,2119,318,7,7,7,7,29,1,0,1
15932,3983,738,4,3,2,2,29,0,1,0
18354,6118,570,10,10,9,2,30,0,0,0
12428,6214,1130,8,8,7,7,27,0,0,0
25388,6347,1192,8,6,2,4,37,0,0,0
46040,11510,343,12,11,10,9,38,1,0,0
28572,7143,1232,11,11,9,10,31,1,1,0
16536,8268,144,7,7,7,7,29,1,0,0
16190,8095,1296,17,16,6,13,35,0,1,0
11616,2904,1309,4,4,2,2,23,0,0,0
12064,6032,483,8,5,4,2,41,1,1,0
8928,2976,1309,5,0,0,0,47,0,1,0
63968,15992,810,16,1,0,0,42,0,1,0
13947,4649,746,4,4,3,2,29,0,0,0
8088,2696,544,4,3,2,0,42,1,0,0
4740,2370,1062,8,8,0,7,32,0,0,0
37512,12504,530,15,0,0,0,48,0,0,0
5974,5974,1319,13,7,7,7,37,1,0,0
14208,4736,641,4,2,2,2,30,1,0,0
15888,5296,933,8,8,7,7,26,0,0,0
27124,6781,1332,14,1,0,0,42,0,1,0
4348,2174,756,3,3,2,2,21,1,1,1
26612,6653,845,7,1,0,0,36,0,1,0
38796,9699,541,16,13,9,12,36,0,0,0
20265,6755,593,15,3,2,2,57,0,0,0
6639,2213,1171,10,7,7,7,40,1,0,0
10440,2610,895,3,3,2,2,21,0,1,0
8553,2851,350,1,1,0,0,33,1,1,1
3452,3452,921,17,5,4,3,37,0,0,0
15774,5258,1144,7,1,0,0,46,0,0,0
18710,9355,143,8,8,7,7,41,0,1,1
41984,10496,1046,20,4,3,3,50,0,1,0
19140,6380,575,8,6,4,0,40,1,0,1
5314,2657,408,3,2,2,2,31,1,1,0
5432,2716,156,1,1,0,0,21,0,1,1
8804,2201,1283,6,3,2,2,29,0,1,0
13080,6540,755,10,1,1,0,35,0,1,0
7632,3816,1469,5,5,2,4,27,0,0,0
21012,5253,304,7,7,5,7,28,0,1,0
32895,10965,1261,26,5,2,0,49,0,1,0
19744,4936,1178,18,7,7,7,51,0,0,0
7629,2543,329,6,2,2,2,36,0,0,0
21216,5304,1362,9,5,2,4,34,1,1,1
66636,16659,1311,30,5,4,2,55,1,1,0
12780,4260,1371,5,5,2,3,24,1,0,0
4952,2476,202,1,1,0,0,30,0,0,0
3102,3102,575,7,6,4,4,26,0,1,1
4488,2244,253,2,2,1,2,22,0,0,0
22788,7596,164,10,10,9,0,36,0,0,0
9140,2285,464,3,1,0,0,30,1,1,1
3034,3034,1107,18,18,7,17,37,0,0,0
11430,5715,759,8,5,4,3,40,0,0,0
2576,2576,201,8,5,2,2,42,0,0,0
8394,4197,1305,18,1,0,1,37,1,1,0
28672,14336,982,25,25,10,9,43,0,0,0
10344,3448,555,20,1,0,0,40,0,0,0
19406,19406,821,24,4,2,2,54,0,0,0
19614,6538,1381,6,3,2,2,34,0,0,0
4306,4306,480,13,13,10,12,31,0,0,0
9032,2258,313,8,3,2,2,43,0,0,0
13566,4522,1473,8,5,2,2,43,1,0,0
17948,4487,891,5,5,4,3,25,1,1,0
13347,4449,1063,15,13,11,7,37,1,0,0
2218,2218,329,4,4,2,2,31,0,0,0
57591,19197,1218,21,21,8,6,39,1,0,0
13212,13212,906,36,7,7,7,56,0,0,0
19731,6577,1082,6,5,4,4,30,0,1,0
8392,8392,645,10,10,7,7,41,0,0,0
4558,4558,1300,10,10,0,8,28,0,0,0
4031,4031,688,6,2,2,2,25,0,0,1
23907,7969,319,28,5,4,4,52,1,0,0
10616,2654,192,8,2,2,2,45,0,0,0
66220,16555,1490,31,5,2,4,52,0,0,0
13668,4556,532,19,5,4,2,42,0,0,0
24364,6091,317,11,5,4,2,30,0,1,0
19566,19566,422,33,29,8,10,60,0,0,0
14430,4810,1485,19,10,7,8,46,0,0,0
18092,4523,1368,7,6,5,4,42,0,0,0
6404,3202,1448,6,5,3,4,24,1,1,1
7053,2351,296,3,2,2,0,34,0,0,1
6808,1702,1490,1,1,0,0,38,1,0,0
54123,18041,1398,21,20,15,12,40,0,0,0
11544,2886,1349,3,3,2,2,26,0,0,0
8388,2097,1400,9,5,3,4,30,0,0,0
35805,11935,986,10,10,2,7,29,0,0,0
5092,2546,408,6,2,2,1,29,0,0,1
10256,2564,489,1,1,0,0,19,0,1,1
8412,8412,1398,10,9,8,8,30,0,0,0
56472,14118,210,32,1,0,0,57,0,0,0
51138,17046,1099,28,27,10,7,50,0,0,0
10256,2564,1116,12,11,7,7,30,0,1,0
10266,10266,1499,22,18,13,11,60,0,0,0
20280,5070,983,20,5,0,4,47,0,0,0
53583,17861,1009,26,3,2,1,46,0,0,0
12690,4230,144,6,5,4,3,35,0,1,0
11340,3780,548,19,1,0,0,54,0,1,0
8304,2768,1303,14,7,3,7,34,0,0,0
36284,9071,1125,15,3,2,2,46,1,0,0
21296,10648,1274,13,13,8,8,31,0,0,0
40830,13610,1277,15,7,6,7,33,1,0,1
13632,3408,587,8,4,3,3,33,0,0,1
5966,2983,413,4,3,2,2,30,0,1,0
22896,7632,1276,10,8,7,0,35,1,0,0
29472,9824,534,12,1,0,0,31,0,0,1
9950,9950,988,11,3,2,2,34,1,0,1
6279,2093,1474,8,2,2,0,42,0,0,0
39920,9980,635,10,10,3,7,36,0,1,0
11682,3894,1368,4,2,2,2,22,0,1,1
16204,4051,163,14,9,7,7,48,0,0,0
33670,16835,1117,37,10,9,7,55,0,1,0
24920,6230,267,16,14,3,10,41,0,1,0
14151,4717,619,15,11,9,9,35,0,0,0
39711,13237,302,22,20,6,13,40,0,1,0
11265,3755,443,8,8,3,7,39,0,0,0
26328,6582,828,10,6,5,5,31,1,1,0
7406,7406,319,10,10,9,8,42,1,0,0
9610,4805,561,9,8,7,7,45,0,0,0
8223,2741,426,8,7,7,0,26,1,0,1
17048,4262,232,8,3,2,2,29,0,0,0
48552,16184,922,10,6,1,5,33,0,0,0
46228,11557,688,10,5,4,1,31,0,0,0
3756,1878,1306,0,0,0,0,18,1,1,1
10932,10932,1094,20,1,0,1,40,0,0,0
20433,6811,509,10,8,7,7,41,1,1,0
12918,4306,775,8,0,0,0,26,0,0,0
14577,4859,195,5,5,4,3,35,0,1,0
21348,5337,258,10,10,7,7,34,0,1,0
9360,2340,471,1,1,0,0,26,1,1,1
29964,7491,799,12,6,5,2,37,0,1,0
31581,10527,1034,28,2,2,2,46,0,0,0
16595,16595,1276,22,18,16,8,41,0,0,0
17668,8834,142,9,9,5,7,37,0,0,0
5577,5577,956,18,10,9,9,52,1,0,0
14121,4707,1474,6,4,2,2,32,0,0,1
9600,2400,535,3,2,2,1,24,0,0,0
29472,9824,1495,18,1,0,0,38,0,0,0
12894,6447,446,8,6,5,3,37,0,0,0
58506,19502,1245,31,31,9,9,49,1,0,0
10900,2725,691,6,6,5,4,24,1,0,0
12544,6272,703,6,5,3,4,26,0,0,0
4254,2127,823,1,1,0,0,24,0,0,0
36400,18200,1246,32,32,5,7,50,0,0,0
6288,2096,622,7,7,4,6,25,0,0,0
8658,2886,1287,6,6,3,2,24,1,0,1
2033,2033,448,1,1,0,0,30,0,0,1
14488,3622,254,6,6,5,3,34,1,0,0
4233,4233,1365,9,3,1,2,31,0,0,1
14724,3681,538,9,3,2,2,35,0,1,0
21840,5460,525,13,7,7,7,31,0,0,0
6561,2187,798,6,5,3,3,27,0,0,0
28806,9602,558,17,3,0,0,37,1,0,0
5672,2836,959,1,1,0,0,20,0,1,0
16356,4089,622,10,10,2,2,42,0,0,0
66508,16627,782,21,1,0,0,43,1,0,0
2619,2619,362,8,0,0,0,38,0,1,0
17037,5679,1001,10,8,7,7,43,1,0,0
15402,15402,1236,21,3,2,2,48,0,0,0
17955,5985,1112,10,2,2,2,44,0,1,0
7737,2579,204,8,8,2,6,34,1,0,0
3041,3041,1420,5,4,3,2,27,0,0,1
10341,3447,1343,3,3,2,2,21,0,1,0
78052,19513,1315,26,2,2,1,44,1,0,0
8319,2773,604,3,2,2,2,22,0,0,0
21312,7104,1216,6,5,0,2,33,0,0,0
25288,6322,646,6,6,4,5,32,1,0,0
6249,2083,160,1,1,0,0,30,0,0,0
8381,8381,238,18,14,7,10,53,0,1,0
10764,2691,1397,10,10,9,8,34,0,0,0
4286,4286,306,5,1,1,0,45,0,0,1
10636,2659,991,3,3,2,2,26,1,0,0
28302,9434,482,10,10,7,8,37,0,0,0
16683,5561,1176,6,6,0,2,29,0,0,0
26584,6646,1017,17,17,11,8,35,0,1,0
30900,7725,1296,15,13,11,7,33,0,0,0
21450,10725,397,16,9,7,1,54,0,0,0
17694,8847,913,13,3,2,2,36,1,0,0
8180,2045,1115,5,4,2,1,27,0,1,0
3027,1009,1362,1,1,0,1,20,1,1,1
3348,3348,1076,10,10,8,7,33,1,1,1
3843,1281,727,1,1,0,0,35,0,0,0
2819,2819,885,5,3,2,2,23,0,0,0
9702,4851,810,4,3,2,2,25,0,0,0
16112,4028,243,8,7,7,5,38,0,1,0
10880,2720,806,10,10,7,8,29,0,0,0
16240,8120,817,12,2,2,2,48,0,0,0
18588,4647,1410,6,6,5,4,27,1,0,0
18720,4680,1225,4,1,0,0,37,0,1,0
9663,3221,1207,20,20,8,8,50,1,0,0
17242,8621,1442,9,8,7,7,34,0,1,0
13731,4577,693,4,2,2,0,24,0,1,1
13659,4553,408,20,20,7,10,39,0,1,0
21584,5396,929,10,10,7,8,32,0,1,0
20388,6796,562,18,4,3,3,50,1,0,1
30500,7625,827,10,9,7,8,38,0,1,0
7412,7412,608,9,9,7,7,27,0,0,0
44636,11159,1018,10,7,7,7,32,0,1,0
4960,4960,703,20,7,7,7,47,0,1,0
10475,10475,580,20,18,13,12,40,1,0,0
44442,14814,970,32,5,1,3,53,0,0,0
76564,19141,427,23,21,6,6,41,0,0,0
5405,5405,1179,10,2,2,2,60,0,1,0
8793,8793,294,9,9,7,7,27,0,0,0
57567,19189,314,22,22,7,10,41,0,0,0
7750,3875,316,4,2,2,2,50,0,0,0
4432,2216,654,10,7,7,7,28,1,1,1
11713,11713,427,10,8,7,5,36,0,0,0
23583,7861,168,10,1,0,0,38,1,1,0
11124,3708,381,9,5,2,4,44,0,1,0
41310,13770,217,28,22,2,13,47,1,0,0
21216,5304,501,10,8,7,7,30,0,0,0
7926,2642,1396,1,1,0,0,29,0,1,0
8277,2759,933,7,2,2,2,42,1,0,1
27216,6804,775,7,2,2,2,43,0,0,0
18426,6142,970,10,5,1,3,34,0,1,0
2500,2500,650,5,4,3,2,23,0,0,0
12778,6389,141,12,8,3,6,39,0,0,0
44412,11103,832,30,10,7,1,56,0,0,0
9368,2342,804,5,4,2,3,40,1,1,0
6811,6811,975,9,7,6,7,27,0,1,0
4594,2297,1090,2,2,2,2,29,0,0,0
9800,2450,346,19,2,2,2,53,0,1,0
5093,5093,1225,16,1,0,0,35,0,0,0
21236,5309,430,10,10,8,7,32,0,0,0
9171,3057,268,6,1,0,1,38,1,0,0
5121,5121,167,7,0,0,0,34,0,0,0
16856,16856,621,34,34,6,16,52,0,0,0
10744,2686,527,10,10,9,8,33,1,1,1
24720,6180,883,6,6,5,4,25,0,1,0
19896,6632,954,9,8,7,1,45,0,1,0
10515,3505,310,2,2,2,2,23,0,1,0
